Cidade,Bairro,Tipo_imovel,Area(m²),Quartos,Banheiros,Vagas,Preco(R$),Condominio(R$),Andar,Portaria 24h
Rio de Janeiro,Cachambi,Apto,68,2,3,1,319000,1114,6,sim
Rio de Janeiro,Centro,Apto,30,1,1,0,250000,1100,2,não
Rio de Janeiro,Cachambi,Apto,65,2,2,1,180000,616,4,não
Rio de Janeiro,Tomás Coelho,Apto,46,2,1,1,155000,450,5,não
Rio de Janeiro,Centro,Apto,70,2,2,0,480000,550,9,não
Rio de Janeiro,Maracanã,Apto,80,2,2,1,543000,743,1,não
Rio de Janeiro,Tijuca,Apto,69,2,3,3,450000,1399,1,sim
Rio de Janeiro,Tijuca,Apto,85,3,2,1,500000,785,3,não
Rio de Janeiro,Riachuelo,Casa,256,1,1,1,210000,0,0,não
Rio de Janeiro,Cachambi,Apto,82,2,2,1,390000,480,9,não
Rio de Janeiro,Riachuelo,Casa,94,3,2,1,350000,250,0,não
Rio de Janeiro,Tijuca,Apto,71,2,2,0,450000,662,7,não
Rio de Janeiro,Andaraí,Apto,149,3,3,0,480000,414,4,não
